unit_group_code,unit_group_title,occupation_code,occupation_title
6319,Other Sales Assistants and Salespersons,631932,Materials Recycler
6319,Other Sales Assistants and Salespersons,631933,Rental Salesperson
6319,Other Sales Assistants and Salespersons,631934,Street Vendor
6319,Other Sales Assistants and Salespersons,631999,Sales Assistants and Salespersons nec
7111,Automobile Drivers,711131,Chauffeur
7111,Automobile Drivers,711132,Oversize Load Pilot Escort
7111,Automobile Drivers,711133,Rideshare Driver
7111,Automobile Drivers,711134,Taxi Driver
7111,Automobile Drivers,711199,Automobile Drivers nec
7112,Bus and Coach Drivers,711231,Bus Driver
7112,Bus and Coach Drivers,711232,Charter and Tour Bus Driver
7112,Bus and Coach Drivers,711233,Passenger Coach Driver
7113,Train and Tram Drivers,711331,Freight Train Driver
7113,Train and Tram Drivers,711332,Passenger Train Driver
7113,Train and Tram Drivers,711333,Tram Driver
7121,Furniture Removalists,712131,Furniture Removalist
7122,Postal and Delivery Workers,712231,Delivery Person
7122,Postal and Delivery Workers,712232,Postal Delivery Officer
7131,General Truck Drivers,713131,Truck Driver (General)
7131,General Truck Drivers,713132,Tow Truck Driver
7132,Articulated and Tanker Truck Drivers,713231,Articulated Truck Driver
7132,Articulated and Tanker Truck Drivers,713232,Tanker Truck Driver
7211,Storepersons and Warehouse Supervisors,721131,Storeperson
7211,Storepersons and Warehouse Supervisors,721132,Warehouse Supervisor
7311,Industrial Spray Painters and Sandblasters,731131,Industrial Spray Painter
7311,Industrial Spray Painters and Sandblasters,731132,Sandblaster
7312,Paper and Wood Processing Machine Operators,731231,Paper and Pulp Production Operator
7312,Paper and Wood Processing Machine Operators,731232,Timber and Wood Production Operator
7313,Plastics and Rubber Production Machine Operators,731331,Plastics Fabricator or Welder
7313,Plastics and Rubber Production Machine Operators,731332,Plastics Production Machine Operator
7313,Plastics and Rubber Production Machine Operators,731333,Reinforced Plastic and Composite Production Worker
7313,Plastics and Rubber Production Machine Operators,731334,Rubber Production Machine Operator
7313,Plastics and Rubber Production Machine Operators,731399,Plastics and Rubber Production Machine Operators nec
7314,"Sewing, Textile and Footwear Machine Operators",731431,Sewing Machinist
7314,"Sewing, Textile and Footwear Machine Operators",731432,Textile or Footwear Production Machine Operator
7319,Other Machine Operators,731931,Chemical Production Machine Operator
7319,Other Machine Operators,731932,Clay Products Machine Operator
7319,Other Machine Operators,731933,Concrete Products Machine Operator
7319,Other Machine Operators,731934,Crushing Machine Operator
7319,Other Machine Operators,731935,Glass Production Machine Operator
7319,Other Machine Operators,731936,Photographic Print Processor
7319,Other Machine Operators,731937,Sterilisation Technician
7319,Other Machine Operators,731938,Stone Processing Machine Operator
7319,Other Machine Operators,731999,Machine Operators nec
7321,"Crane, Hoist and Lift Operators",732131,"Crane, Hoist or Lift Operator"
7322,Engineering Production Workers,732231,Engineering Production Worker
7323,Miners and Shot Firers,732331,Miner
7323,Miners and Shot Firers,732332,Shot Firer
7324,Wastewater and Water Plant Operators,732431,Wastewater or Water Plant Operator
7329,Other Stationary Plant Operators,732931,Boiler or Engine Operator
7329,Other Stationary Plant Operators,732932,Bulk Materials Handling Plant Operator
7329,Other Stationary Plant Operators,732933,Concrete Batching Plant Operator
7329,Other Stationary Plant Operators,732934,Concrete Pump Operator
7329,Other Stationary Plant Operators,732935,Railway Signal Operator
7329,Other Stationary Plant Operators,732936,Weighbridge Operator
7329,Other Stationary Plant Operators,732999,Stationary Plant Operators nec
7411,"Agricultural, Horticultural and Logging Plant Operators",741131,Agricultural and Horticultural Mobile Plant Operator
7411,"Agricultural, Horticultural and Logging Plant Operators",741132,Logging Plant Operator
7412,Earthmoving Plant Operators,741231,Earthmoving Plant Operator (General)
7412,Earthmoving Plant Operators,741232,Backhoe Operator
7412,Earthmoving Plant Operators,741233,Bulldozer Operator
7412,Earthmoving Plant Operators,741234,Excavator Operator
7412,Earthmoving Plant Operators,741235,Grader Operator
7412,Earthmoving Plant Operators,741236,Loader Operator
7412,Earthmoving Plant Operators,741237,Tunnel Constructor
7413,Forklift Drivers,741331,Forklift Driver
7419,Other Mobile Plant Operators,741931,Aircraft Baggage Handler and Ground Crew
7419,Other Mobile Plant Operators,741932,Aircraft Refueller
7419,Other Mobile Plant Operators,741933,Linemarker
7419,Other Mobile Plant Operators,741934,Railway Shunter
7419,Other Mobile Plant Operators,741935,Railway Track Plant Operator
7419,Other Mobile Plant Operators,741936,Road Roller Operator
7419,Other Mobile Plant Operators,741937,Stevedore
7419,Other Mobile Plant Operators,741938,Streetsweeper Operator
7419,Other Mobile Plant Operators,741999,Mobile Plant Operators nec
8111,Commercial Cleaners,811131,Commercial Cleaner
8112,Domestic Cleaners,811231,Domestic Cleaner
8113,Drycleaners and Laundry Workers,811331,Drycleaner
8113,Drycleaners and Laundry Workers,811332,Laundry Worker
8114,Housekeepers,811431,Commercial Housekeeper
8114,Housekeepers,811432,Domestic Housekeeper
8115,Vehicle Detailers,811531,Vehicle Detailer
8119,Other Cleaners and Laundry Workers,811931,Carpet Cleaner
8119,Other Cleaners and Laundry Workers,811932,Roof Gutter Cleaner
8119,Other Cleaners and Laundry Workers,811933,Window Cleaner
8119,Other Cleaners and Laundry Workers,811999,Cleaners and Laundry Workers nec
8211,Construction and Demolition Labourers,821131,Asbestos Removalist
8211,Construction and Demolition Labourers,821132,Builder's Labourer
8211,Construction and Demolition Labourers,821133,Concreter's Labourer
8211,Construction and Demolition Labourers,821134,Demolition Labourer
8211,Construction and Demolition Labourers,821135,Earthmoving Labourer
8212,Construction Riggers and Doggers,821231,Construction Rigger
8212,Construction Riggers and Doggers,821232,Dogger
8213,Fencers,821331,Fencer
8214,Home Improvement and Insulation Installers,821431,Building Insulation Installer
8214,Home Improvement and Insulation Installers,821432,Garage Door Installer
8214,Home Improvement and Insulation Installers,821433,Shed Builder
8214,Home Improvement and Insulation Installers,821434,Window Furnishing Installer
8214,Home Improvement and Insulation Installers,821499,Home Improvement and Insulation Installers nec
8215,Paving and Surfacing Labourers,821531,Paving and Surfacing Labourer
8216,Plumbing and Drainage Labourers,821631,"Drainage, Sewerage and Stormwater Labourer"
8216,Plumbing and Drainage Labourers,821632,Pipe Layer
8216,Plumbing and Drainage Labourers,821633,Plumber's Assistant
8217,Structural Steel Construction Workers,821731,Scaffolder
8217,Structural Steel Construction Workers,821732,Steel Fixer
8217,Structural Steel Construction Workers,821733,Structural Steel Erector
8219,Other Construction and Mining Labourers,821931,Driller's Offsider
8219,Other Construction and Mining Labourers,821932,Lagger
8219,Other Construction and Mining Labourers,821933,Mining Support Worker
8219,Other Construction and Mining Labourers,821934,Rail Protection Officer
8219,Other Construction and Mining Labourers,821935,Railway Track Worker
8219,Other Construction and Mining Labourers,821936,Surveyor's Assistant
8311,Food and Drink Factory Workers,831131,Baking Factory Worker
8311,Food and Drink Factory Workers,831132,Brewery Worker
8311,Food and Drink Factory Workers,831133,Coffee Roaster
8311,Food and Drink Factory Workers,831134,Confectionery Maker
8311,Food and Drink Factory Workers,831135,Dairy Products Factory Worker
8311,Food and Drink Factory Workers,831136,Fruit and Vegetable Factory Worker
8311,Food and Drink Factory Workers,831137,Grain Mill Worker
8311,Food and Drink Factory Workers,831138,Sugar Mill Worker
8311,Food and Drink Factory Workers,831141,Winery Cellar Hand
8311,Food and Drink Factory Workers,831199,Food and Drink Factory Workers nec
8312,"Meat Boners and Slicers, and Slaughterers",831231,Meat Boner and Slicer
8312,"Meat Boners and Slicers, and Slaughterers",831232,Slaughterer
8313,"Meat, Poultry and Seafood Process Workers",831331,Meat Process Worker
8313,"Meat, Poultry and Seafood Process Workers",831332,Poultry Process Worker
8313,"Meat, Poultry and Seafood Process Workers",831333,Seafood Process Worker
8321,Packers,832131,Packer (General)
8321,Packers,832132,Chocolate Packer
8321,Packers,832133,Fruit and Vegetable Packer
8321,Packers,832134,Meat Packer
8321,Packers,832135,Seafood Packer
8322,Product Assemblers,832231,Product Assembler
8391,Materials and Chemical Process Workers,839131,Cement and Concrete Plant Worker
8391,Materials and Chemical Process Workers,839132,Chemical Plant Worker
8391,Materials and Chemical Process Workers,839133,Fabric and Textile Factory Worker
8391,Materials and Chemical Process Workers,839134,Glass Processing Worker
8391,Materials and Chemical Process Workers,839135,Metal Engineering Process Worker
8391,Materials and Chemical Process Workers,839136,Paper and Pulp Process Worker
8391,Materials and Chemical Process Workers,839137,Plastics Factory Worker
8391,Materials and Chemical Process Workers,839138,Recycling Worker
8391,Materials and Chemical Process Workers,839141,Timber and Wood Process Worker
8391,Materials and Chemical Process Workers,839199,Materials and Chemical Process Workers nec
8392,Product Quality Controllers,839231,Product Examiner
8392,Product Quality Controllers,839232,Product Grader
8392,Product Quality Controllers,839233,Product Tester
8411,Crop Farm Workers,841131,Cotton Farm Worker
8411,Crop Farm Workers,841132,Fruit Farm Worker
8411,Crop Farm Workers,841133,Fruit Picker
8411,Crop Farm Workers,841134,"Grain, Oilseed, Pulse and Pasture Farm Worker"
8411,Crop Farm Workers,841135,Mushroom Picker
8411,Crop Farm Workers,841136,Nut Farm Worker
8411,Crop Farm Workers,841137,Sugar Cane Farm Worker
8411,Crop Farm Workers,841138,Vegetable Farm Worker
8411,Crop Farm Workers,841141,Vegetable Picker
8411,Crop Farm Workers,841142,Vineyard Worker
8411,Crop Farm Workers,841199,Crop Farm Workers nec
8412,Livestock Farm Workers,841231,Beef Cattle Farm Worker
8412,Livestock Farm Workers,841232,Cattle and Sheep Farm Worker
8412,Livestock Farm Workers,841233,Dairy Cattle Farm Worker
8412,Livestock Farm Workers,841234,Livestock Husbandry Worker
8412,Livestock Farm Workers,841235,Piggery Farm Worker
8412,Livestock Farm Workers,841236,Poultry Farm Worker
8412,Livestock Farm Workers,841237,Sheep Farm Worker
8412,Livestock Farm Workers,841238,Stablehand
8412,Livestock Farm Workers,841241,Wool Handler
8412,Livestock Farm Workers,841299,Livestock Farm Workers nec
8413,Mixed Production and Aquaculture Farm Workers,841331,Aquaculture Worker
8413,Mixed Production and Aquaculture Farm Workers,841332,Broadacre Crop and Livestock Farm Worker
8413,Mixed Production and Aquaculture Farm Workers,841399,Mixed Production and Aquaculture Farm Workers nec
8421,Garden Labourers,842131,Garden Labourer
8422,Horticultural Nursery Assistants,842231,Horticultural Nursery Assistant
8429,Other Garden and Forestry Workers,842931,Bush Regenerator
8429,Other Garden and Forestry Workers,842932,Forestry Worker
8429,Other Garden and Forestry Workers,842933,Irrigation Assistant
8429,Other Garden and Forestry Workers,842999,Garden and Forestry Workers nec
8511,Fast Food Cooks,851131,Fast Food Cook
8512,Food Preparation Assistants,851231,Kitchenhand (General)
8512,Food Preparation Assistants,851232,Dishwasher
8512,Food Preparation Assistants,851233,Pastrycook's Assistant
8512,Food Preparation Assistants,851299,Food Preparation Assistants nec
8911,Freight and Furniture Handlers,891131,Freight Handler (Rail or Road)
8911,Freight and Furniture Handlers,891132,Truck Driver's Offsider
8912,Shelf Fillers,891231,Shelf Filler
8991,Caretakers,899131,Caretaker
8992,Deck and Fishing Hands,899231,Deck Hand
8992,Deck and Fishing Hands,899232,Fishing Hand
8993,Handypersons,899331,Handyperson
8994,Motor Vehicle Parts and Accessories Fitters,899431,Motor Vehicle Parts and Accessories Fitter (General)
8994,Motor Vehicle Parts and Accessories Fitters,899432,Autoglazier
8994,Motor Vehicle Parts and Accessories Fitters,899433,Mechanic's Assistant
8994,Motor Vehicle Parts and Accessories Fitters,899434,Tyre Fitter
8995,"Rail Guards, Conductors and Railways Assistants",899531,Rail Guard or Conductor
8995,"Rail Guards, Conductors and Railways Assistants",899532,Railways Assistant
8996,Road Traffic Controllers,899631,Road Traffic Controller
8999,Other Miscellaneous Labourers,899931,Car Park Attendant
8999,Other Miscellaneous Labourers,899932,Crossing Supervisor
8999,Other Miscellaneous Labourers,899933,Electrical or Telecommunications Trades Assistant
8999,Other Miscellaneous Labourers,899934,Leaflet or Newspaper Deliverer
8999,Other Miscellaneous Labourers,899935,Recycling or Waste Collector
8999,Other Miscellaneous Labourers,899936,Sign Installer
8999,Other Miscellaneous Labourers,899937,Swimming Pool or Spa Technician
8999,Other Miscellaneous Labourers,899938,Trolley Collector
8999,Other Miscellaneous Labourers,899941,Vending Machine Attendant
8999,Other Miscellaneous Labourers,899999,Labourers nec
